"","Methylobacterium-Methylorubrum sp.","Methylobacterium-Methylorubrum sp..1","Sphingomonas cynarae","Aureimonas sp.","Escherichia-Shigella sp.","Quadrisphaera granulorum","Aureimonas sp..1","Klenkia sp.","Pseudokineococcus lusitanus","Methylobacterium-Methylorubrum sp..2","Aureimonas populi","Sphingomonas sp.","Methylobacterium-Methylorubrum sp..3","Methylobacterium-Methylorubrum sp..4","Aurantimonas sp.","Methylobacterium-Methylorubrum sp..5","Methylobacterium-Methylorubrum sp..6","Methylobacterium-Methylorubrum sp..7","Sphingomonas mucosissima","Bdellovibrio sp.","Methylobacterium-Methylorubrum sp..8","Quadrisphaera sp.","Hymenobacter rivuli","Methylobacterium-Methylorubrum sp..9","Aurantimonas sp..1","Methylobacterium-Methylorubrum sp..10","Sphingomonas sp..1","Methylobacterium-Methylorubrum sp..11","Hymenobacter sp.","Escherichia-Shigella sp..1","Aureimonas sp..2","Methylobacterium-Methylorubrum sp..12","Herbiconiux sp.","Oscillatoria sp.","Microbacterium sp.","Methylobacterium-Methylorubrum sp..13","Hymenobacter sp..1","Aureimonas sp..3","Sphingomonas sp..2","Methylobacterium-Methylorubrum sp..14","Methylobacterium-Methylorubrum sp..15","Aureimonas sp..4","Hymenobacter sp..2","Ensifer sp.","Methylobacterium-Methylorubrum sp..16","Oscillatoria sp..1","Marmoricola sp.","Methylobacterium-Methylorubrum sp..17","Methylobacterium-Methylorubrum sp..18","Hymenobacter sp..3","Sphingomonas sp..3","Oscillatoria sp..2","Methylobacterium-Methylorubrum sp..19","Methylobacterium-Methylorubrum sp..20","Oscillatoria sp..3","Sphingomonas sp..4","Oscillatoria sp..4","Methylobacterium-Methylorubrum sp..21","Thermus sp.","Methylobacterium-Methylorubrum sp..22","Methylobacterium-Methylorubrum sp..23","Quadrisphaera sp..1","Methylobacterium-Methylorubrum sp..24","Acinetobacter sp.","Methylobacterium-Methylorubrum sp..25","Methylobacterium-Methylorubrum sp..26","Oscillatoria sp..5","Methylobacterium-Methylorubrum sp..27","Methylobacterium-Methylorubrum sp..28","Oscillatoria sp..6","Sphingomonas sp..5","Oscillatoria sp..7","Pseudomonas sp.","Pseudokineococcus sp.","Oscillatoria sp..8","Ensifer sp..1","Escherichia-Shigella sp..2","Methylobacterium-Methylorubrum sp..29","Oscillatoria sp..9","Methylobacterium-Methylorubrum sp..30","Novosphingobium sp.","Methylobacterium-Methylorubrum sp..31","Escherichia-Shigella sp..3","Oscillatoria sp..10","Methylobacterium-Methylorubrum sp..32","Neorhizobium sp.","Sphingomonas sp..6","Hymenobacter sp..4","Methylobacterium-Methylorubrum sp..33","Oscillatoria sp..11","Methylobacterium-Methylorubrum sp..34","Sphingomonas sp..7","Methylobacterium-Methylorubrum sp..35","Hymenobacter sp..5","Rathayibacter sp.","Methylobacterium-Methylorubrum sp..36","Oscillatoria sp..12","Erwiniaceae","Aureimonas sp..5","Oscillatoria sp..13","Methylobacterium-Methylorubrum sp..37","Roseomonas sp.","Quadrisphaera sp..2","Roseomonas sp..1","Sphingomonas sp..8","Oscillatoria sp..14","Rhodocytophaga sp.","Oscillatoria sp..15","Aurantimonas sp..2","Granulicatella elegans","Aureimonas sp..6","Sphingomonas sp..9","Kineococcus sp.","Escherichia-Shigella sp..4","Oscillatoria sp..16","Oscillatoria sp..17","Methylobacterium-Methylorubrum sp..38","Oscillatoria sp..18","Methylobacterium-Methylorubrum sp..39","Aureimonas sp..7","Staphylococcus sp.","Aureimonas sp..8","Enterobacteriaceae","Oscillatoria sp..19","Hymenobacter sp..6","Sphingomonas sp..10","Oscillatoria sp..20","Gemmatimonadaceae","Spirosoma sp.","Oscillatoria sp..21","Methylobacterium-Methylorubrum sp..40","Oscillatoria sp..22","Oscillatoria sp..23","Oscillatoria sp..24","Methylobacterium-Methylorubrum sp..41","Methylobacterium-Methylorubrum sp..42","Aureimonas sp..9","Microbacterium sp..1","Oscillatoria sp..25","Ramlibacter sp.","Aureimonas sp..10","Methylobacterium-Methylorubrum sp..43","Aureimonas sp..11","Oscillatoria sp..26","Hymenobacter sp..7","Oscillatoria sp..27","Oscillatoria sp..28","Oscillatoria sp..29","Quadrisphaera sp..3","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium sp.","Oscillatoria sp..30","Methylobacterium-Methylorubrum sp..44","Klebsiella sp.","Methylobacterium-Methylorubrum sp..45","Oscillatoria sp..31","Nocardioides alpinus","Methylobacterium-Methylorubrum sp..46","Oscillatoria sp..32","Escherichia-Shigella sp..5","Oscillatoria sp..33","Sphingomonas sp..11","Bdellovibrio sp..1","Methylobacterium-Methylorubrum sp..47","Escherichia-Shigella sp..6","Oscillatoria sp..34","Oscillatoria sp..35","Hymenobacter sp..8","Methylobacterium-Methylorubrum sp..48","Mesorhizobium sp.","Oscillatoria sp..36","Pseudolabrys sp.","Burkholderia-Caballeronia-Paraburkholderia sp.","Sphingomonas sp..12","Sphingomonas sp..13","Aureimonas sp..12","Oscillatoria sp..37","Sphingomonas phyllosphaerae","Oscillatoria sp..38","Aquamonas sp.","Hymenobacter norwichensis","Aureimonas sp..13","Brevundimonas sp.","Escherichia-Shigella sp..7","Hymenobacter sp..9","Methylobacterium-Methylorubrum sp..49","Salana multivorans","Roseomonas sp..2","Aurantimonas sp..3","Klenkia sp..1","Candidatus Portiera sp.","Oscillatoria sp..39","Rhodococcus sp.","Methylobacterium-Methylorubrum sp..50","Hymenobacter sp..10","Pseudomonas sp..1","Methylobacterium-Methylorubrum sp..51","Hymenobacter sp..11","Aurantimonas sp..4","Bacillus sp.","Candidatus Portiera sp..1","Enterobacteriaceae.1","Spirosoma aerophilum","Methylobacterium-Methylorubrum sp..52","Ramlibacter sp..1","Sphingomonadaceae","Nocardioides sp.","Methylobacterium-Methylorubrum sp..53","Beijerinckiaceae","Beijerinckiaceae.1","Haloactinobacterium sp.","Hymenobacter sp..12","Aquamonas sp..1","Klenkia sp..2"
"17-1",247,281,345,622,69,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"17-10",369,237,0,24,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-11",491,313,0,12,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-12",957,37,45,195,13,45,100,96,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-13",390,196,73,31,0,24,0,14,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-14",1063,0,0,347,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
"17-15",2566,0,29,142,0,49,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"17-2",12,0,0,0,461,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-3",638,891,122,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-4",97,57,0,14,0,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
